Time,Pre,Actual
2020/5/30,11.005976,10.875
2020/5/31,11.06948,10.09375
2020/6/1,10.249612,9.625
2020/6/2,9.776696,9.3125
2020/6/3,9.080264,8.90625
2020/6/4,8.565592,8.4375
2020/6/5,8.349242,8.125
2020/6/6,8.267294,7.875
2020/6/7,8.262987,7.875
2020/6/8,10.012567,10.9375
2020/6/9,12.099828,13.71875
2020/6/10,13.2908945,14.125
2020/6/11,14.101733,13.71875
2020/6/12,14.807997,13.5
2020/6/13,13.992745,13.375
2020/6/14,12.491271,12.46875
2020/6/15,11.379539,14.625
2020/6/16,29.6134,37.96875
2020/6/17,43.439594,56.84375
2020/6/18,50.01861,54.03125
2020/6/19,45.230846,46.6875
2020/6/20,42.286915,42.15625
2020/6/21,37.202686,38.3125
2020/6/22,36.134342,36.1875
2020/6/23,34.14966,33.75
2020/6/24,29.845171,30.46875
2020/6/25,26.717548,27.625
2020/6/26,27.46951,26.65625
2020/6/27,30.261961,30.34375
2020/6/28,29.800089,29.3125
2020/6/29,27.400011,26.71875
2020/6/30,24.09102,23.96875
2020/7/1,20.242804,21.46875
2020/7/2,21.56936,19.6875
2020/7/3,16.834393,17.8125
2020/7/4,16.10012,15.9375
2020/7/5,14.543349,14.4375
2020/7/6,13.332019,13.0625
2020/7/7,12.580953,11.84375
2020/7/8,11.41417,10.78125
2020/7/9,10.373932,9.84375
2020/7/10,10.072324,9.171875
2020/7/11,12.419158,13.46875
2020/7/12,18.238188,17.59375
2020/7/13,15.652151,17.453125
2020/7/14,16.0993,16.765625
2020/7/15,18.891777,17.953125
2020/7/16,16.660727,17.5
2020/7/17,19.361256,16.296875
2020/7/18,14.370835,14.890625
2020/7/19,16.394215,15.90625
2020/7/20,13.862367,15.34375
2020/7/21,15.689323,14.609375
2020/7/22,17.848194,15.578125
2020/7/23,15.634601,32.25
2020/7/24,46.73338,58.46875
2020/7/25,72.85375,72.953125
2020/7/26,70.176735,74.953125
2020/7/27,63.279247,67.046875
2020/7/28,55.261417,58.546875
2020/7/29,51.60616,53.4375
2020/7/30,49.518486,49.109375
2020/7/31,46.72982,45.21875
2020/8/1,41.94021,45.65625
2020/8/2,45.84684,58.96875
2020/8/3,52.827652,57.84375
2020/8/4,57.83343,55.65625
2020/8/5,59.401577,52.109375
2020/8/6,54.46086,59.078125
2020/8/7,59.848133,73.53125
2020/8/8,65.45225,70.65625
2020/8/9,60.332386,63.140625
2020/8/10,53.10339,55.75
2020/8/11,48.36171,50.453125
2020/8/12,56.187523,61.609375
2020/8/13,61.8131,80.59375
2020/8/14,71.80645,167.375
2020/8/15,184.7715,329.95312
2020/8/16,336.876,354.98438
2020/8/17,358.94315,326.70312
2020/8/18,324.39163,303.89062
2020/8/19,281.95535,284.76562
2020/8/20,249.87468,253.5625
2020/8/21,234.0175,226.3125
2020/8/22,212.63365,203.14062
2020/8/23,196.09944,190.76562
2020/8/24,169.9551,197.54688
2020/8/25,163.94475,180.54688
2020/8/26,149.89827,161.57812
2020/8/27,135.43066,145.67188
2020/8/28,124.21073,130.90625
2020/8/29,116.57398,118.59375
2020/8/30,115.5482,110.8125
2020/8/31,105.30401,107.203125
2020/9/1,91.956184,97.703125
2020/9/2,86.41047,88.890625
2020/9/3,74.32665,80.1875
2020/9/4,68.38935,72.1875
2020/9/5,62.38915,64.8125
2020/9/6,58.671276,63.28125
2020/9/7,54.09814,56.8125
2020/9/8,48.38795,51.515625
2020/9/9,46.75561,47.921875
2020/9/10,45.887142,45.4375
2020/9/11,39.159588,41.3125
2020/9/12,35.915653,37.21875
2020/9/13,34.65215,34.25
2020/9/14,35.46331,31.765625
2020/9/15,31.799665,31.875
2020/9/16,28.90048,30.140625
2020/9/17,28.135363,27.65625
2020/9/18,24.631441,25.109375
2020/9/19,23.19114,22.757812
2020/9/20,25.000935,22.085938
2020/9/21,26.300428,25.695312
2020/9/22,25.47167,33.445312
2020/9/23,30.411982,32.90625
2020/9/24,28.3604,29.898438
2020/9/25,26.552353,28.289062
2020/9/26,27.85165,27.359375
2020/9/27,27.502192,25.5
2020/9/28,28.826647,25.53125
2020/9/29,25.232962,25.867188
2020/9/30,24.545004,24.03125
2020/10/1,27.032232,30.90625
2020/10/2,35.048336,43.710938
