asst,lhnf,sst,Evap,Tran,gp,at,tmax,tmin,dpt,FzSf,CbSf,TjzSf,LySf,GySf,runoff
296.193695,115.467644,296.193695,4.68E-05,2.68E-05,940.77,23.8,28.95,19.01,17.79,12.625,41.03125,53.78125,317.90625,512.71875,1657.2188
297.021515,118.579712,297.021515,4.81E-05,2.80E-05,938.94,24.31,28.54,18.29,18.71,11.34375,37.3125,48.8125,288.65625,467.4375,1539.0938
298.010315,128.467133,298.010315,5.21E-05,3.26E-05,937.78,25.02,29.43,19.89,18.73,10.59375,35.78125,46.4375,261.875,425.71875,1418.875
298.921478,148.421478,298.921478,6.02E-05,3.80E-05,937.64,26.01,31.37,20.17,20.19,10,34.78125,44.9375,239.59375,388.15625,1305.4062
300.167877,146.991318,300.167877,5.96E-05,3.63E-05,936.46,27.5,31.25,24.48,20.41,9.34375,32.625,42.28125,220.9375,356.21875,1205.5625
298.192444,90.9630585,298.192444,3.69E-05,1.83E-05,939.5,24.9,28.9,20.24,18.65,9.09375,30.9375,39.71875,204.28125,329.9375,1119.125
298.841309,129.038422,298.841309,5.23E-05,3.46E-05,942.5,26.78,32.66,20.57,20.5,8.84375,29.46875,37.75,191.5625,306.84375,1055.375
298.274384,112.071892,298.274384,4.54E-05,2.77E-05,941.88,24.81,29.85,20.19,20.54,8.5625,28.5,36.40625,182.59375,285.8125,1028.5938
298.111877,102.293747,298.111877,4.15E-05,2.21E-05,939.89,25.39,29.81,21.12,20.97,8.40625,28.0625,35.8125,176.375,271.5625,1007.84375
297.442139,78.7534866,297.442139,3.19E-05,1.67E-05,938.83,23.98,27.17,20.1,18.98,8.28125,27.6875,35.28125,172.21875,262.96875,978.03125
